attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,100.54,42,42,1
noise_30dB,0.9062,0.0938,30.07,42,2147500078,1
noise_20dB,0.7188,0.2812,20.01,42,2248753294,0
noise_10dB,0.6562,0.3438,9.97,42,2787198190,0
mp3_64k,0.7812,0.2188,23.22,42,840179746,0
mp3_32k,0.5312,0.4688,17.78,42,843429053,0
resample_8k,0.5625,0.4375,26.48,42,1178366179,0
resample_16k,1.0000,0.0000,38.50,42,42,1
lowpass_4k,0.6250,0.3750,1.76,42,1178349667,0
highpass_200,0.5938,0.4062,-1.97,42,327091307,0
bandpass_phone,0.5000,0.5000,-3.14,42,1467888762,0
echo_120ms,0.5938,0.4062,5.76,42,1773279800,0
reverb_400ms,0.6250,0.3750,-2.79,42,275803699,0
dropout_5pct,0.8438,0.1562,8.07,42,5505074,0
dropout_15pct,0.7500,0.2500,6.99,42,812908594,0
