attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,99.77,42,42,1
noise_30dB,1.0000,0.0000,30.01,42,42,1
noise_20dB,1.0000,0.0000,19.97,42,42,1
noise_10dB,0.7500,0.2500,9.94,42,2449572902,0
mp3_64k,0.9375,0.0625,23.09,42,1056810,1
mp3_32k,0.7812,0.2188,15.99,42,307242018,0
resample_8k,0.9062,0.0938,24.50,42,1318954,1
resample_16k,0.9688,0.0312,31.60,42,8234,1
lowpass_4k,0.9062,0.0938,1.75,42,1318954,1
highpass_200,0.9688,0.0312,-1.96,42,1048618,1
bandpass_phone,0.7500,0.2500,-3.14,42,276570218,0
echo_120ms,0.8438,0.1562,5.69,42,1074921528,0
reverb_400ms,0.6562,0.3438,-5.04,42,2218377330,0
dropout_5pct,0.9062,0.0938,8.09,42,5242914,1
dropout_15pct,0.8750,0.1250,7.00,42,5505058,0
