attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,100.55,42,42,1
noise_30dB,0.8438,0.1562,30.02,42,16623,0
noise_20dB,0.6250,0.3750,19.94,42,2250492142,0
noise_10dB,0.4375,0.5625,10.02,42,2545534622,0
mp3_64k,0.7500,0.2500,22.61,42,840179744,0
mp3_32k,0.4688,0.5312,16.93,42,1934960916,0
resample_8k,0.5312,0.4688,26.52,42,1178368227,0
resample_16k,1.0000,0.0000,38.75,42,42,1
lowpass_4k,0.5312,0.4688,1.76,42,1178368227,0
highpass_200,0.5000,0.5000,-1.97,42,1400833151,0
bandpass_phone,0.4688,0.5312,-3.14,42,1467954298,0
echo_120ms,0.5938,0.4062,5.76,42,1773279800,0
reverb_400ms,0.4062,0.5938,-3.72,42,494782263,0
dropout_5pct,0.7500,0.2500,8.07,42,5505264,0
dropout_15pct,0.7188,0.2812,6.99,42,812908592,0
