attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,100.51,42,42,1
noise_30dB,1.0000,0.0000,30.02,42,42,1
noise_20dB,0.8125,0.1875,19.97,42,2248163502,0
noise_10dB,0.6875,0.3125,9.98,42,2382480046,0
mp3_64k,0.8750,0.1250,22.43,42,1319978,0
mp3_32k,0.6562,0.3438,16.72,42,1380262966,0
resample_8k,0.7812,0.2188,26.35,42,1142698026,0
resample_16k,1.0000,0.0000,37.69,42,42,1
lowpass_4k,0.8438,0.1562,1.76,42,1323114,0
highpass_200,0.7188,0.2812,-1.97,42,310182954,0
bandpass_phone,0.5312,0.4688,-3.14,42,1434334330,0
echo_120ms,0.5938,0.4062,5.76,42,1773279800,0
reverb_400ms,0.5938,0.4062,-3.79,42,356276290,0
dropout_5pct,0.8750,0.1250,8.07,42,5242930,0
dropout_15pct,0.7812,0.2188,6.99,42,276037682,0
